what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348561766369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348561767129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348561772688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348561779113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348561780489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348561790184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348561800872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348561807441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348561811294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348561817234
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1348561838181
started,bundle,com.dubture.twig.core,1.0.102,"com.dubture.twig.core",1348561838490
started,bundle,com.dubture.symfony.core,1.0.69,"com.dubture.symfony.core",1348561838572
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1348561847320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348561855063
started,bundle,com.dubture.symfony.index,1.0.69,"com.dubture.symfony.index",1348561855245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348561862743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348561880744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348561890028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348561894454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348561902319
