what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348737699112
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348737699123
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348737699133
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348737699135
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1348737699201
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1348737699324
error,log,,,"Unhandled event loop exception",1348737700758
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348737702746
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348737702757
error,log,,,"Unhandled event loop exception",1348737702766
error,log,,,"Unhandled event loop exception",1348737703660
error,log,,,"Unhandled event loop exception",1348737704659
error,log,,,"Unhandled event loop exception",1348737708748
error,log,,,"Unhandled event loop exception",1348737710430
error,log,,,"Unhandled event loop exception",1348737710445
error,log,,,"Unhandled event loop exception",1348737711966
error,log,,,"Unhandled event loop exception",1348737711983
error,log,,,"Unhandled event loop exception",1348737712150
error,log,,,"Unhandled event loop exception",1348737714111
error,log,,,"Unhandled event loop exception",1348737714181
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1348737714430
error,log,,,"Unhandled event loop exception",1348737718979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1348737724685
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1348737728787
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348737728806
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1348738342747
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1348738342748
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1348738342749
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1348738342749
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1348738342750
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1348738342750
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1348738342751
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1348738342751
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1348738342752
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1348738342753
